"BarCode_No","Schedule_Date","Time","WH","DB_Type","Destination","SLCARS","Expedition_Name","Fleet_Type","Fleet_CBM"
"150617017","06/17/2015","09:30:00","Murinda","LUKOT","NUSA + NUSA AGM",2881,"PT PPS CARGO","FUSO",39.00
"150617023","06/17/2015","09:30:00","Murinda+JBK5","LUKOT","JAMBI - NAZILA JAMBI NUGRAHA, PT",177,"BINTANG EXPRESS, CV","CDD",16.74
"150617029","06/17/2015","14:30:00","JABABEKA 5","LUKOT","BANTEN - BANTEN ANUGRAH ABADI, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
"150617030","06/17/2015","12:30:00","Murinda+JBK5","LUKOT","CIANJUR - MANDALARAYA PILAR SAKTI, PT(AGM NENTY)  ",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
"150617056","06/17/2015","12:30:00","Murinda","DALKOT","KARAWANG - MITRA SATYA ANUGRAH, PT",5002,"UBJ LOGISTICS, PT","CDD LONG",28.68
"150617057","06/17/2015","12:30:00","Murinda","DALKOT","KARAWANG - MITRA SATYA ANUGRAH, PT",5002,"UBJ LOGISTICS, PT","CDD LONG",28.68
