"BarCode_No","Schedule_Date","Time","WH","DB_Type","Destination","SLCARS","Expedition_Name","Fleet_Type","Fleet_CBM"
"140410009","04/08/2014","19:00:00","JABABEKA 5","DALKOT","Mangga dua - PIJAR GRAHA CEMERLANG, PT",4445,"DEXTRAN","CDD",17.74
"140410013","04/08/2014","19:00:00","JABABEKA 5","LUKOT","Bandung - FAJAR PUNCAK PRATAMA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140410016","04/10/2014","09:00:00","JABABEKA 5","LUKOT","Lampung - TAPIS EKA MODERN, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140410017","04/10/2014","09:00:00","JABABEKA 5","LUKOT","Lampung - TAPIS EKA MODERN, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140410018","04/10/2014","09:00:00","Murinda+JBK5","LUKOT","Lampung - TAPIS EKA MODERN, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140410019","04/10/2014","09:00:00","JABABEKA 5","LUKOT","Cilacap - PUTRI DINAMIKA JAYA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140410020","04/10/2014","09:00:00","JABABEKA 5","LUKOT","Purwokerto - MULYO DITO PANGESTU, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140410021","04/10/2014","09:00:00","Murinda+JBK5","LUKOT","Cilacap,Purwokerto - PUTRI + MULYO",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140410022","04/10/2014","09:00:00","Murinda+JBK5","LUKOT","Magelang - DEWISRI PRATHAMA MUKHYASA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140410023","04/10/2014","09:00:00","JABABEKA 5","LUKOT","Semarang - KALYANA BENTANG SENTOSA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140410025","04/10/2014","09:00:00","JBK5+Murinda","LUKOT","Kudus,Semarang - TIARA + INDRAKINARYA",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140410029","04/10/2014","09:00:00","JABABEKA 5","LUKOT","Yogya - SENTOSA AGUNG SURYATAMA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140408065","04/08/2014","20:00:00","JABABEKA 5","LUKOT","VIA UDARA",4231,"MINEX","CDD",17.74
"140410037","04/10/2014","09:00:00","JBK5+Murinda","DALKOT","HO + PUTRA",2972,"TUPPERWARE","CDD",9.60
"140410038","04/10/2014","09:00:00","JBK5+Murinda","DALKOT","NURAMA + PERSADA",2972,"TUPPERWARE","CDD",17.22
"140410039","04/10/2014","09:00:00","JBK5+Murinda","LUKOT","DINAMIKA + ALFA",2972,"TUPPERWARE","CDD",17.74
