"BarCode_No","Schedule_Date","Time","WH","DB_Type","Destination","SLCARS","Expedition_Name","Fleet_Type","Fleet_CBM"
"150211014","02/11/2015","09:30:00","JBK5+Murinda","LUKOT","PANGKAL PINANG - BINTANG EKA MANDIRI, PT",371,"PUTRA BANGKA EXPRESS, PT","CDD",16.74
"150211015","02/11/2015","09:30:00","JBK5+Murinda","LUKOT","ORCHID + CAHAYA + CAHAYA AGM + NAZILA + TRISHA",177,"BINTANG EXPRESS, CV","FUSO",39.00
"150211026","02/11/2015","09:30:00","JABABEKA 5","LUKOT","MEDAN",133,"DIVISI ARMADA PINTUSONA","BUILT UP",52.00
"150211027","02/11/2015","09:30:00","Murinda","LUKOT","SURABAYA",5307,"PT. PANCARAN DARAT TRANSPORT","WINGS BOX",45.00
"150211040","02/11/2015","09:30:00","Murinda+JBK5","LUKOT","TIARA + INDRAKINARYA",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
"150211041","02/11/2015","09:30:00","Murinda+JBK5","LUKOT","SEMARANG - KALYANA BENTANG SENTOSA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
"150211044","02/11/2015","12:30:00","JBK5+Murinda","LUKOT","SOLO - BUMI MANUNGGAL KHARISMA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
"150211045","02/11/2015","09:30:00","Murinda+JBK5","LUKOT","DEWISRI + SENTOSA",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
"150211047","02/11/2015","09:30:00","Murinda+JBK5","LUKOT","LAMPUNG - TAPIS EKA MODERN, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
"150211049","02/11/2015","12:30:00","JABABEKA 5","LUKOT","MEDAN",4642,"MITRA TOTAL PERSADA, PT","FUSO",39.00
"150211053","02/11/2015","12:30:00","Murinda","LUKOT","MEDAN",4642,"MITRA TOTAL PERSADA, PT","FUSO",39.00
"150211054","02/11/2015","14:30:00","Murinda","LUKOT","MEDAN",4642,"MITRA TOTAL PERSADA, PT","FUSO",39.00
"150211055","02/11/2015","14:30:00","Murinda","LUKOT","MEDAN",4642,"MITRA TOTAL PERSADA, PT","FUSO",39.00
"150212001","02/11/2015","20:00:00","Murinda+JBK5","DALKOT","KELAPA GADING - PRIMA MEGAH LESTARI, PT",4445,"DEXTRAN","CDD",16.74
"150212002","02/11/2015","21:00:00","JBK5+Murinda","DALKOT","CIMONE - PERSADA TIARA DINAMIKA, PT",5117,"TOTAL LOGISTICS INDONESIA,PT","CDD",16.74
"150212003","02/11/2015","21:00:00","JBK5+Murinda","DALKOT","DEPOK - PUTRA ANDITYA PERKASA, PT",5117,"TOTAL LOGISTICS INDONESIA,PT","CDD",16.74
"150212004","02/11/2015","21:00:00","JBK5+Murinda","DALKOT","CIBUBUR - SAGITA YORI KENCANA, PT",4445,"DEXTRAN","CDD",16.74
"150212005","02/11/2015","21:00:00","JBK5+Murinda","DALKOT","CIPINANG - ARLIA HARAPAN KENCANA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
"150212006","02/11/2015","21:00:00","JBK5+Murinda","DALKOT","KEBUN JERUK - DINAMIKA BINTANG KEJORA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
"150212007","02/11/2015","21:00:00","JBK5+Murinda","DALKOT","MANGGA DUA - PIJAR GRAHA CEMERLANG, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
"150212008","02/11/2015","21:30:00","JBK5+Murinda","DALKOT","SRENGSENG - MERPATI PANCARAN KINASIH, PT",4445,"DEXTRAN","PICKUP",5.76
"150212010","02/12/2015","09:30:00","Murinda+JBK5","LUKOT","NUSA + NUSA AGM",2881,"PT PPS CARGO","FUSO",39.00
"150212011","02/12/2015","09:30:00","JBK5+Murinda","LUKOT","ORCHID + CAHAYA",177,"BINTANG EXPRESS, CV","CDD",16.74
"150212013","02/12/2015","07:30:00","JBK5+Murinda","DALKOT","PASAR MINGGU - ALIF ROSE, PT",4642,"MITRA TOTAL PERSADA, PT","PICKUP",5.76
"150212017","02/12/2015","12:30:00","JABABEKA 5","LUKOT","MEDAN",133,"DIVISI ARMADA PINTUSONA","BUILT UP",52.00
"150212018","02/12/2015","12:30:00","JABABEKA 5","LUKOT","BAHANA ERIASAFA GEMPITA, PT",133,"DIVISI ARMADA PINTUSONA","BUILT UP",52.00
"150212019","02/12/2015","12:30:00","JBK5+Murinda","LUKOT","MEDAN",4642,"MITRA TOTAL PERSADA, PT","FUSO",39.00
"150212021","02/12/2015","09:30:00","JABABEKA 5","LUKOT","SURABAYA",4642,"MITRA TOTAL PERSADA, PT","WINGS BOX",45.00
"150212022","02/12/2015","09:30:00","JBK5+Murinda","LUKOT","SURABAYA",4642,"MITRA TOTAL PERSADA, PT","WINGS BOX",45.00
"150212023","02/12/2015","09:30:00","Murinda","LUKOT","SURABAYA",4642,"MITRA TOTAL PERSADA, PT","WINGS BOX",45.00
"150212026","02/12/2015","14:30:00","Murinda","LUKOT","SURABAYA",4445,"DEXTRAN","WINGS BOX",45.00
"150212027","02/12/2015","09:30:00","JBK5+Murinda","LUKOT","BENGKULU - MALAHO BANGKAHULU PERDANA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
"150212028","02/12/2015","09:30:00","JABABEKA 5","LUKOT","LAMPUNG - TAPIS EKA MODERN, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
"150212029","02/12/2015","09:30:00","JBK5+Murinda","LUKOT","LAMPUNG - TAPIS EKA MODERN, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
"150212030","02/12/2015","12:30:00","JBK5+Murinda","LUKOT","INDOVIMA + DEWISRI + BUMI + SENTOSA",4642,"MITRA TOTAL PERSADA, PT","HITUNGAN KARTON",
"150212031","02/12/2015","12:30:00","JABABEKA 5","LUKOT","SEMARANG - INDRAKINARYA MUGISANTOSA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
"150212034","02/12/2015","09:30:00","Murinda+JBK5","LUKOT","PUTRI + MULYO",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
