"BarCode_No","Schedule_Date","Time","WH","DB_Type","Destination","SLCARS","Expedition_Name","Fleet_Type","Fleet_CBM"
"150922053","09/22/2015","09:30:00","JBK5+Murinda","LUKOT","JAMBI - NAZILA JAMBI NUGRAHA, PT",177,"BINTANG EXPRESS, CV","FUSO",39.00
"150922056","09/22/2015","07:30:00","JABABEKA 5","LUKOT","MEDAN",133,"DIVISI ARMADA PINTUSONA","BUILT UP",52.00
"150922059","09/22/2015","05:30:00","JBK5+Murinda","DALKOT","CIPINANG - ARLIA HARAPAN KENCANA, PT",4445,"DEWI EXPRESS TRANSPORT, PT","CDD",16.74
"150922060","09/22/2015","05:30:00","JABABEKA 5","DALKOT","SRENGSENG - MERPATI PANCARAN KINASIH, PT",4445,"DEWI EXPRESS TRANSPORT, PT","CDD",16.74
"150922061","09/22/2015","05:30:00","JABABEKA 5","DALKOT","SRENGSENG - MERPATI PANCARAN KINASIH, PT",4445,"DEWI EXPRESS TRANSPORT, PT","CDD",16.74
"150922062","09/22/2015","05:30:00","JBK5+Murinda","DALKOT","SRENGSENG - MERPATI PANCARAN KINASIH, PT",4445,"DEWI EXPRESS TRANSPORT, PT","CDD",16.74
