"BarCode_No","Schedule_Date","Time","WH","DB_Type","Destination","SLCARS","Expedition_Name","Fleet_Type","Fleet_CBM"
"141217003","12/16/2014","15:30:00","Murinda","LUKOT","Bandung - FAJAR PUNCAK PRATAMA, PT",4642,"MITRA TOTAL PERSADA, PT","FUSO",39.00
"141216044","12/16/2014","12:30:00","Murinda+JBK5","LUKOT","BANTEN + WIDHITA",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
"141216061","12/16/2014","13:00:00","Murinda","DALKOT","Pasar Minggu - ALIF ROSE, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
"141216063","12/16/2014","14:00:00","Murinda","DALKOT","Srengseng - MERPATI PANCARAN KINASIH, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
