"BarCode_No","Schedule_Date","Time","WH","DB_Type","Destination","SLCARS","Expedition_Name","Fleet_Type","Fleet_CBM"
"140701049","07/01/2014","11:00:00","JABABEKA 5","DALKOT","Karawang - MITRA SATYA ANUGRAH, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140701051","07/01/2014","11:00:00","JABABEKA 5","DALKOT","Serpong - NURAMA SEJAHTERA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140701055","07/01/2014","09:00:00","JABABEKA 5","DALKOT","Cipinang - ARLIA HARAPAN KENCANA, PT",2972,"TUPPERWARE","CDD",17.74
"140701013","07/01/2014","07:30:00","Murinda","DALKOT","Kebun jeruk - DINAMIKA BINTANG KEJORA, PT",371,"PUTRA BANGKA EXPRESS, PT","CDD",17.74
"140701032","07/01/2014","09:30:00","JABABEKA 5","LUKOT","Lampung - TAPIS EKA MODERN, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140701033","07/01/2014","09:30:00","JABABEKA 5","LUKOT","Lampung - TAPIS EKA MODERN, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140701040","07/01/2014","08:30:00","JABABEKA 5","LUKOT","Surabaya",4445,"DEXTRAN","WINGS BOX",45.00
"140701041","07/01/2014","10:30:00","JABABEKA 5","LUKOT","Surabaya",4445,"DEXTRAN","WINGS BOX",45.00
"140701043","07/01/2014","09:30:00","JABABEKA 5","LUKOT","MULYO + SENTOSA + KALYANA (KLATEN)",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
