"BarCode_No","Schedule_Date","Time","WH","DB_Type","Destination","SLCARS","Expedition_Name","Fleet_Type","Fleet_CBM"
"141226006","12/26/2014","07:30:00","JABABEKA 5","DALKOT","Kebun jeruk - DINAMIKA BINTANG KEJORA, PT",5117,"KORIN LOGISTICS INDONESIA,PT","CDD",16.74
"141226007","12/26/2014","07:30:00","JBK5+Murinda","DALKOT","Serpong - NURAMA SEJAHTERA, PT",5117,"KORIN LOGISTICS INDONESIA,PT","CDD",16.74
"141226010","12/26/2014","07:30:00","JABABEKA 5","DALKOT","Karawang - MITRA SATYA ANUGRAH, PT",5002,"UBJ LOGISTICS, PT","CDD LONG",28.68
"141226013","12/26/2014","07:30:00","Murinda","DALKOT","Karawang - MITRA SATYA ANUGRAH, PT",5002,"UBJ LOGISTICS, PT","CDD LONG",28.68
"141226014","12/26/2014","08:30:00","JABABEKA 5","DALKOT","Pasar Minggu - ALIF ROSE, PT",5002,"UBJ LOGISTICS, PT","CDD LONG",28.68
"141226017","12/26/2014","08:30:00","JBK5+Murinda","DALKOT","Pasar Minggu - ALIF ROSE, PT",5002,"UBJ LOGISTICS, PT","CDD LONG",28.68
"141226018","12/26/2014","07:30:00","JABABEKA 5","DALKOT","Cipinang - ARLIA HARAPAN KENCANA, PT",4642,"MITRA TOTAL PERSADA, PT","FUSO",39.00
"141226021","12/26/2014","07:30:00","JBK5+Murinda","DALKOT","Bogor - MANUNGGAL RAYA TIMUR PERKASA, PT",4445,"DEXTRAN","CDD",16.74
"141226023","12/26/2014","07:30:00","JABABEKA 5","DALKOT","Kelapa gading - PRIMA MEGAH LESTARI, PT",4445,"DEXTRAN","CDD",16.74
"141226024","12/26/2014","08:30:00","JBK5+Murinda","DALKOT","Srengseng - MERPATI PANCARAN KINASIH, PT",4445,"DEXTRAN","CDD",16.74
"141226025","12/26/2014","07:30:00","Murinda","DALKOT","Kebun jeruk - DINAMIKA BINTANG KEJORA, PT",4445,"DEXTRAN","CDD",16.74
