"BarCode_No","Schedule_Date","Time","WH","DB_Type","Destination","SLCARS","Expedition_Name","Fleet_Type","Fleet_CBM"
"150617012","06/17/2015","07:30:00","Murinda+JBK5","DALKOT","BEKASI - MAHARDIKA ARTHA FORTUNA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
"150617018","06/17/2015","12:30:00","JABABEKA 5","LUKOT","NUSA + NUSA AGM",2881,"PT PPS CARGO","FUSO",39.00
"150617019","06/17/2015","12:30:00","JABABEKA 5","LUKOT","NUSA + NUSA AGM",2881,"PT PPS CARGO","FUSO",39.00
"150617020","06/17/2015","12:30:00","JABABEKA 5","LUKOT","NUSA + NUSA AGM",2881,"PT PPS CARGO","FUSO",39.00
"150617045","06/17/2015","12:30:00","JABABEKA 5","LUKOT","SOLO - BUMI MANUNGGAL KHARISMA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
