"BarCode_No","Schedule_Date","Time","WH","DB_Type","Destination","SLCARS","Expedition_Name","Fleet_Type","Fleet_CBM"
"140807049","08/07/2014","11:30:00","Murinda","DALKOT","Mangga dua - PIJAR GRAHA CEMERLANG, PT",2972,"TUPPERWARE","CDD",17.74
"140807048","08/07/2014","11:30:00","Murinda","DALKOT","Pasar Minggu - ALIF ROSE, PT",4445,"DEXTRAN","PICKUP",5.76
"140807050","08/07/2014","14:30:00","JABABEKA 5","LUKOT","Surabaya",4445,"DEXTRAN","WINGS BOX",45.00
"140808004","08/07/2014","15:30:00","Murinda","LUKOT","Bandung - FAJAR PUNCAK PRATAMA, PT",4642,"MITRA TOTAL PERSADA, PT","FUSO",39.00
"140808005","08/07/2014","18:30:00","JABABEKA 5","DALKOT","Cipinang - ARLIA HARAPAN KENCANA, PT",5002,"UBJ LOGISTICS, PT","CDD LONG",28.68
"140808006","08/07/2014","18:30:00","JBK5+Murinda","DALKOT","Karawang - MITRA SATYA ANUGRAH, PT",5002,"UBJ LOGISTICS, PT","CDD LONG",28.68
"140808007","08/07/2014","19:30:00","JABABEKA 5","DALKOT","Bekasi - LIMAX KALEBORAH MARIFAT, PT",10,"KORIN LOGISTICS, PT","CDD",17.74
"140808008","08/07/2014","19:30:00","JBK5+Murinda","DALKOT","Bekasi - LIMAX KALEBORAH MARIFAT, PT",10,"KORIN LOGISTICS, PT","CDD",17.74
"140808009","08/07/2014","19:30:00","JBK5+Murinda","DALKOT","Bogor - MANUNGGAL RAYA TIMUR PERKASA, PT",10,"KORIN LOGISTICS, PT","CDD",17.74
"140808010","08/07/2014","18:30:00","JBK5+Murinda","DALKOT","MAHARDIKA + HASTA",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140808011","08/07/2014","19:30:00","JBK5+Murinda","DALKOT","ANDIRA + ALIF",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140808012","08/07/2014","19:30:00","JABABEKA 5","DALKOT","Kelapa gading - PRIMA MEGAH LESTARI, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140808013","08/07/2014","18:30:00","JABABEKA 5","DALKOT","Bandung - FAJAR PUNCAK PRATAMA, PT",4642,"MITRA TOTAL PERSADA, PT","PICKUP",5.76
"140808014","08/07/2014","18:30:00","JABABEKA 5","LUKOT","Banten - BANTEN ANUGRAH ABADI, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140808015","08/07/2014","18:30:00","JBK5+Murinda","LUKOT","Banten - BANTEN ANUGRAH ABADI, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140808018","08/07/2014","18:30:00","JBK5+Murinda","LUKOT","Serang - WIDHITA HUSNUL BANTERA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140808020","08/07/2014","18:30:00","JBK5+Murinda","DALKOT","Bogor - MANDALARAYA PILAR SAKTI, PT",4445,"DEXTRAN","CDD",17.74
"140808021","08/07/2014","19:30:00","JBK5+Murinda","DALKOT","Cibubur - SAGITA YORI KENCANA, PT",4445,"DEXTRAN","CDD",17.74
"140808022","08/07/2014","19:30:00","JBK5+Murinda","DALKOT","Cimone - PERSADA TIARA DINAMIKA, PT",4445,"DEXTRAN","CDD",17.74
"140808024","08/07/2014","19:30:00","JBK5+Murinda","DALKOT","Depok - PUTRA ANDITYA PERKASA, PT",4445,"DEXTRAN","CDD",17.74
"140808025","08/07/2014","19:30:00","JABABEKA 5","DALKOT","Kebun jeruk - DINAMIKA BINTANG KEJORA, PT",4445,"DEXTRAN","CDD",17.74
"140808026","08/07/2014","19:30:00","JBK5+Murinda","DALKOT","Kebun jeruk - MERPATI PANCARAN KINASIH, PT",4445,"DEXTRAN","PICKUP",5.76
"140807034","08/07/2014","12:30:00","JABABEKA 5","LUKOT","Surabaya",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140807035","08/07/2014","12:30:00","JABABEKA 5","LUKOT","Surabaya",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140807040","08/07/2014","10:00:00","JBK5+Murinda","LUKOT","DB2 LUAR KOTA",11,"FIRST LOGISTIC","CDD",17.74
"140807019","08/07/2014","07:30:00","Murinda","DALKOT","Tangerang - HASTA HUSNUL KHOTIMAH, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140807029","08/07/2014","09:30:00","Murinda+JBK5","LUKOT","Pangkal pinang - BINTANG EKA MANDIRI, PT",371,"PUTRA BANGKA EXPRESS, PT","FUSO",39.00
"140807030","08/07/2014","09:30:00","Murinda+JBK5","LUKOT","Lampung - ORCHID BINTANG TAPIS, PT",177,"BINTANG EXPRESS, CV","CDD",17.74
"140807031","08/07/2014","09:30:00","Murinda+JBK5","LUKOT","CAHAYA + TRISHA",177,"BINTANG EXPRESS, CV","FUSO",39.00
