"BarCode_No","Schedule_Date","Time","WH","DB_Type","Destination","SLCARS","Expedition_Name","Fleet_Type","Fleet_CBM"
"131231040","12/31/2013","10:00:00","JABABEKA 5","LUKOT","Jambi - NAZILA + TRISHA",177,"BINTANG EXPRESS, CV","FUSO",39.00
"131231042","12/31/2013","10:00:00","JABABEKA 5","LUKOT","Lampung - ORCHID BINTANG TAPIS, PT",177,"BINTANG EXPRESS, CV","CDD",19.74
"131231052","12/31/2013","08:00:00","Murinda","DALKOT","Tangerang - HASTA HUSNUL KHOTIMAH, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",19.74
"131231064","12/31/2013","10:00:00","Murinda","DALKOT","PIJAR + PRIMA",2972,"TUPPERWARE","CDD",9.60
"131231065","12/31/2013","10:00:00","Murinda","DALKOT","Serpong - NURAMA SEJAHTERA, PT",2972,"TUPPERWARE","CDD",4.62
"131231066","12/31/2013","10:00:00","Murinda",,"Serpong - NURAMA SEJAHTERA, PT",2972,"TUPPERWARE","CDD",7.67
"131231068","12/31/2013","11:00:00","Murinda","DALKOT","Depok - PUTRA ANDITYA PERKASA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",19.74
"131231069","12/31/2013","11:00:00","Murinda","DALKOT","Bintaro - MULIA DINAMIKA SWAKARSA, PT",4445,"DEXTRAN","CDD",19.74
