"BarCode_No","Schedule_Date","Time","WH","DB_Type","Destination","SLCARS","Expedition_Name","Fleet_Type","Fleet_CBM"
"150209025","02/09/2015","14:00:00","Murinda+JBK5","LUKOT","MAGELANG - DEWISRI PRATHAMA MUKHYASA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
"150209035","02/09/2015","14:00:00","JBK5+Murinda","LUKOT","LAMPUNG - TAPIS EKA MODERN, PT",4642,"MITRA TOTAL PERSADA, PT","HITUNGAN KARTON",
"150209036","02/09/2015","14:00:00","JBK5+Murinda","LUKOT","BENGKULU - MALAHO BANGKAHULU PERDANA, PT",4642,"MITRA TOTAL PERSADA, PT","HITUNGAN KARTON",
"150209040","02/09/2015","16:30:00","Murinda+JBK5","LUKOT","LAMPUNG - ORCHID BINTANG TAPIS, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
"150209042","02/09/2015","16:00:00","Murinda","DALKOT","CIKARANG - INDRAPURI MITRA CIKARANG, PT",4445,"DEXTRAN","CDD",16.74
