BarCode_No,Schedule_Date,Time,WH,DB_Type,Destination,SLCARS,Expedition_Name,Fleet_Type,Fleet_CBM
150819001,8/19/2015,5:30:00,JBK5+Murinda,DALKOT,"BOGOR - MANDALARAYA PILAR SAKTI, PT",5002,"UBJ LOGISTICS, PT",CDD LONG,28.68
150819002,8/19/2015,5:30:00,JBK5+Murinda,DALKOT,"BOGOR - MANUNGGAL RAYA TIMUR PERKASA, PT",5002,"UBJ LOGISTICS, PT",CDD LONG,28.68
150819003,8/19/2015,9:30:00,JBK5+Murinda,LUKOT,"JAMBI - NAZILA JAMBI NUGRAHA, PT",177,"BINTANG EXPRESS, CV",FUSO,39
150819004,8/19/2015,9:30:00,Murinda+JBK5,LUKOT,"AGM (TJ. PINANG) - GEMPITA PERMATA BATAM, PT (AGM GUSTI)   ",5099,"LANCAR ABADI JAYA SENTOSA,PT",CDD,16.74
150819005,8/19/2015,9:30:00,Murinda,LUKOT,SURABAYA,5,"BINTANG SAMUDRA RAYA, PT",WINGS BOX,45
150819006,8/19/2015,9:30:00,JABABEKA 5,LUKOT,"PONTIANAK - NUSA MEGAH CEMERLANG, PT",2881,PT PPS CARGO,FUSO,39
150819007,8/19/2015,9:30:00,JABABEKA 5,LUKOT,"PONTIANAK - NUSA MEGAH CEMERLANG, PT",2881,PT PPS CARGO,FUSO,39
150819008,8/19/2015,9:30:00,JABABEKA 5,LUKOT,"PONTIANAK - NUSA MEGAH CEMERLANG, PT",2881,PT PPS CARGO,FUSO,39
150819009,8/19/2015,9:30:00,JABABEKA 5,LUKOT,NUSA + NUSA AGM,2881,PT PPS CARGO,FUSO,39
150819010,8/19/2015,9:30:00,Murinda,LUKOT,"PONTIANAK - NUSA MEGAH CEMERLANG, PT",2881,PT PPS CARGO,FUSO,39
150819011,8/19/2015,9:30:00,Murinda,LUKOT,"PONTIANAK - NUSA MEGAH CEMERLANG, PT",2881,PT PPS CARGO,FUSO,39
150819012,8/19/2015,9:30:00,Murinda,LUKOT,NUSA + NUSA AGM,2881,PT PPS CARGO,FUSO,39
