"BarCode_No","Schedule_Date","Time","WH","DB_Type","Destination","SLCARS","Expedition_Name","Fleet_Type","Fleet_CBM"
"141127007","11/27/2014","07:30:00","Murinda","DALKOT","Bintaro - MULIA DINAMIKA SWAKARSA, PT",5002,"UBJ LOGISTICS, PT","CDD LONG",28.68
"141127048","11/27/2014","10:00:00","Murinda","DALKOT","Pasar Minggu - ALIF ROSE, PT",2972,"TUPPERWARE","CDD",16.74
"141127049","11/27/2014","10:10:00","MEDAN","DALKOT","ANDALAS NUSA PERKASA",4908,"MITRA SEJATI ABADI, CV","CDD",16.74
"141127019","11/27/2014","07:30:00","Murinda","DALKOT","Ciputat - ANDIRA WANODYA CITRA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
"141127020","11/27/2014","09:30:00","JABABEKA 5","LUKOT","BalikPapan",307,"JAPALINDO","CONT '40",67.00
"141127021","11/27/2014","12:30:00","JABABEKA 5","LUKOT","BalikPapan",307,"JAPALINDO","CONT '40",67.00
"141127030","11/27/2014","12:30:00","JABABEKA 5","LUKOT","AGM (Tj. Pinang) - GEMPITA PERMATA BATAM, PT (AGM GUSTI)   ",5099,"LANCAR ABADI JAYA SENTOSA,PT","CDD",16.74
"141127031","11/27/2014","09:30:00","Murinda","LUKOT","AGM (Tj. Pinang) - GEMPITA PERMATA BATAM, PT (AGM GUSTI)   ",5099,"LANCAR ABADI JAYA SENTOSA,PT","CDD",16.74
"141127036","11/27/2014","12:30:00","JABABEKA 5","LUKOT","Serang - WIDHITA HUSNUL BANTERA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",16.74
"141127038","11/27/2014","12:30:00","JBK5+Murinda","LUKOT","Bengkulu - MALAHO BANGKAHULU PERDANA, PT",4642,"MITRA TOTAL PERSADA, PT","FUSO",39.00
"141127040","11/27/2014","09:30:00","Murinda+JBK5","LUKOT","Medan",133,"DIVISI ARMADA PINTUSONA","BUILT UP",52.00
