"BarCode_No","Schedule_Date","Time","WH","DB_Type","Destination","SLCARS","Expedition_Name","Fleet_Type","Fleet_CBM"
"140221048","02/21/2014","09:00:00","JBK5+Murinda","DALKOT","MAHARDIKA + MITRA",2972,"TUPPERWARE","CDD",17.22
"140221049","02/21/2014","09:00:00","JABABEKA 5","DALKOT","HO + MULIA + ANDIRA",2972,"TUPPERWARE","CDD",9.60
"140221050","02/21/2014","09:00:00","JBK5+Murinda","DALKOT","DINAMIKA + PERSADA",2972,"TUPPERWARE","CDD",17.74
"140221051","02/21/2014","09:00:00","JABABEKA 5","DALKOT","PUTRA + ALIF ROSE",2972,"TUPPERWARE","CDD",4.62
"140221052","02/21/2014","09:00:00","JBK5+Murinda","DALKOT","PRIMA + PIJAR",2972,"TUPPERWARE","CDD",17.74
"140221053","02/21/2014","09:00:00","JBK5+Murinda","DALKOT","Bekasi - MAHARDIKA ARTHA FORTUNA, PT",4445,"DEXTRAN","CDD",17.74
"140221036","02/21/2014","09:00:00","JBK5+Murinda","LUKOT","Pontianak - NUSA MEGAH CEMERLANG, PT",2881,"PT PPS CARGO","FUSO",39.00
