"BarCode_No","Schedule_Date","Time","WH","DB_Type","Destination","SLCARS","Expedition_Name","Fleet_Type","Fleet_CBM"
"140502056","05/02/2014","09:00:00","SURABAYA","DALKOT","ALAMANDA",1954,"SAPTA PRIMA PERKASA, PT","CDD",17.74
"140502057","05/02/2014","09:00:00","SURABAYA","DALKOT","SARANA",1954,"SAPTA PRIMA PERKASA, PT","CDD",17.74
"140502058","05/02/2014","09:00:00","SURABAYA","DALKOT","ASTA",1954,"SAPTA PRIMA PERKASA, PT","CDD",17.74
"140502003","05/02/2014","14:00:00","JBK5+Murinda","LUKOT","PUTRI + MULYO",5000,"GEUNTHA CITRA UTAMA, PT","CDD",17.74
"140502004","05/02/2014","14:00:00","JBK5+Murinda","LUKOT","Kudus - TIARA KINARYA SAKTI, PT",5000,"GEUNTHA CITRA UTAMA, PT","CDD",17.74
"140502005","05/02/2014","10:00:00","Murinda+JBK5","LUKOT","INDRAKINARYA + KALYANA",5000,"GEUNTHA CITRA UTAMA, PT","CDD",17.74
"140502008","05/02/2014","09:00:00","Murinda+JBK5","LUKOT","Pangkal pinang - BINTANG EKA MANDIRI, PT",371,"PUTRA BANGKA EXPRESS, PT","KUBIKASI",
"140502015","05/02/2014","09:00:00","Murinda+JBK5","LUKOT","NAZILA + TRISHA",177,"BINTANG EXPRESS, CV","CDD",17.74
"140502017","05/02/2014","14:00:00","JABABEKA 5","LUKOT","Palembang - CAHAYA PUTRI SELATAN, PT",177,"BINTANG EXPRESS, CV","FUSO",39.00
"140502018","05/02/2014","14:00:00","JABABEKA 5","LUKOT","Lampung - ORCHID BINTANG TAPIS, PT",177,"BINTANG EXPRESS, CV","KUBIKASI",
"140502019","05/02/2014","12:00:00","JABABEKA 5","DALKOT","Bekasi - LIMAX KALEBORAH MARIFAT, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140502029","05/02/2014","09:00:00","JBK5+Murinda","LUKOT","Serang - WIDHITA HUSNUL BANTERA, PT",4642,"MITRA TOTAL PERSADA, PT","PICKUP",5.76
"140502030","05/02/2014","12:00:00","JBK5+Murinda","LUKOT","Banten - BANTEN ANUGRAH ABADI, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140502031","05/02/2014","09:00:00","Murinda+JBK5","LUKOT","Solo - BUMI MANUNGGAL KHARISMA, PT",4642,"MITRA TOTAL PERSADA, PT","KUBIKASI",
"140502033","05/02/2014","14:00:00","JABABEKA 5","LUKOT","Magelang - DEWISRI PRATHAMA MUKHYASA, PT",4642,"MITRA TOTAL PERSADA, PT","KUBIKASI",
"140502034","05/02/2014","14:00:00","JBK5+Murinda","LUKOT","Lampung - TAPIS EKA MODERN, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140502035","05/02/2014","09:00:00","Murinda","LUKOT","Lampung - TAPIS EKA MODERN, PT",4642,"MITRA TOTAL PERSADA, PT","KUBIKASI",
"140502036","05/02/2014","14:00:00","JBK5+Murinda","LUKOT","Bengkulu - MALAHO BANGKAHULU PERDANA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140502039","05/02/2014","14:00:00","JABABEKA 5","LUKOT","Semarang - INDRAKINARYA MUGISANTOSA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140502050","05/02/2014","16:00:00","JABABEKA 5","LUKOT","Medan",133,"DIVISI ARMADA PINTUSONA","BUILT UP",52.00
"140502051","05/02/2014","16:00:00","JABABEKA 5","LUKOT","Surabaya",4445,"DEXTRAN","WINGS BOX",45.00
"140502052","05/02/2014","16:00:00","JABABEKA 5","LUKOT","Surabaya",4445,"DEXTRAN","WINGS BOX",45.00
"140502067","05/02/2014","14:00:00","JABABEKA 5","LUKOT","VIA UDARA",4231,"MINEX","CDD",17.74
"140502068","05/02/2014","15:00:00","SURABAYA","DALKOT","BINA",2199,"NUGRAHA SENTOSA","CDD",17.74
"140502069","05/02/2014","16:00:00","Murinda","DALKOT","Pasar Minggu - ALIF ROSE, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140502070","05/02/2014","16:00:00","Murinda+JBK5","DALKOT","Pasar Minggu - ALIF ROSE, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140502071","05/02/2014","16:00:00","Murinda+JBK5","DALKOT","ANDIRA + MERPATI",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140502072","05/02/2014","16:00:00","Murinda+JBK5","DALKOT","Bekasi - MAHARDIKA ARTHA FORTUNA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140502073","05/02/2014","16:00:00","Murinda+JBK5","DALKOT","Bogor - MANUNGGAL RAYA TIMUR PERKASA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
