"BarCode_No","Schedule_Date","Time","WH","DB_Type","Destination","SLCARS","Expedition_Name","Fleet_Type","Fleet_CBM"
"140520035","05/20/2014","10:30:00","JABABEKA 5","DALKOT","LANSIR MURINDA",133,"DIVISI ARMADA PINTUSONA","BUILT UP",52.00
"140520023","05/20/2014","09:30:00","JBK5+Murinda","LUKOT","Serang - WIDHITA HUSNUL BANTERA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140520024","05/20/2014","09:30:00","JABABEKA 5","LUKOT","Lampung - TAPIS EKA MODERN, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140520025","05/20/2014","09:30:00","JABABEKA 5","LUKOT","Lampung - TAPIS EKA MODERN, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140520026","05/20/2014","09:30:00","JABABEKA 5","LUKOT","Lampung - TAPIS EKA MODERN, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140520027","05/20/2014","09:30:00","Murinda+JBK5","LUKOT","Lampung - TAPIS EKA MODERN, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140520028","05/20/2014","09:30:00","JABABEKA 5","LUKOT","Bengkulu - MALAHO BANGKAHULU PERDANA, PT",4642,"MITRA TOTAL PERSADA, PT","FUSO",39.00
"140520029","05/20/2014","09:30:00","JABABEKA 5","LUKOT","Bengkulu - MALAHO BANGKAHULU PERDANA, PT",4642,"MITRA TOTAL PERSADA, PT","FUSO",39.00
"140520031","05/20/2014","10:30:00","JABABEKA 5","LUKOT","Medan",133,"DIVISI ARMADA PINTUSONA","BUILT UP",52.00
"140520033","05/20/2014","08:30:00","JABABEKA 5","DALKOT","LANSIR MURINDA",133,"DIVISI ARMADA PINTUSONA","BUILT UP",52.00
"140520034","05/20/2014","10:30:00","JABABEKA 5","DALKOT","LANSIR MURINDA",133,"DIVISI ARMADA PINTUSONA","BUILT UP",52.00
"140520014","05/19/2014","19:30:00","JABABEKA 5","DALKOT","Depok - PUTRA ANDITYA PERKASA, PT",4445,"DEXTRAN","CDD",17.74
"140520015","05/19/2014","07:30:00","Murinda","DALKOT","Depok - PUTRA ANDITYA PERKASA, PT",4445,"DEXTRAN","PICKUP",5.76
"140520019","05/19/2014","19:30:00","JBK5+Murinda","DALKOT","Mangga dua - PIJAR GRAHA CEMERLANG, PT",4445,"DEXTRAN","CDD",17.74
"140520040","05/19/2014","20:00:00","JABABEKA 5","LUKOT","BKMG - SOLO",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140520041","05/20/2014","08:00:00","JBK5+Murinda","DALKOT","Ciputat - ANDIRA WANODYA CITRA, PT",2972,"TUPPERWARE","CDD",17.74
"140520042","05/20/2014","08:00:00","JBK5+Murinda","DALKOT","Kebun jeruk - MERPATI PANCARAN KINASIH, PT",2972,"TUPPERWARE","CDD",17.22
"140520043","05/20/2014","08:00:00","JBK5+Murinda","DALKOT","Serpong - NURAMA SEJAHTERA, PT",2972,"TUPPERWARE","CDD",17.74
"140520044","05/20/2014","08:00:00","JBK5+Murinda","DALKOT","HO + PUTRA",2972,"TUPPERWARE","CDD",9.60
"140520045","05/20/2014","09:00:00","SURABAYA","DALKOT","ASTA",1954,"SAPTA PRIMA PERKASA, PT","CDD",17.74
"140520046","05/20/2014","10:00:00","SURABAYA","DALKOT","SARANA",1954,"SAPTA PRIMA PERKASA, PT","CDD",17.74
"140520047","05/20/2014","10:00:00","SURABAYA","DALKOT","VINIVICI",1954,"SAPTA PRIMA PERKASA, PT","CDD",17.74
"140520048","05/20/2014","10:30:00","JABABEKA 5","LUKOT","TUPPERWARE JAPAN",12,"DHL","CDD",17.74
