"BarCode_No","Schedule_Date","Time","WH","DB_Type","Destination","SLCARS","Expedition_Name","Fleet_Type","Fleet_CBM"
"140513036","05/13/2014","09:30:00","JABABEKA 5","LUKOT","Lampung - TAPIS EKA MODERN, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140513039","05/13/2014","09:30:00","Murinda+JBK5","LUKOT","Bengkulu - MALAHO BANGKAHULU PERDANA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140513011","05/13/2014","08:00:00","Murinda","DALKOT","Depok - PUTRA ANDITYA PERKASA, PT",10,"KORIN LOGISTICS, PT","CDD",17.74
"140513012","05/13/2014","08:00:00","Murinda","DALKOT","Kebun jeruk - MERPATI PANCARAN KINASIH, PT",10,"KORIN LOGISTICS, PT","CDD",17.74
"140513013","05/13/2014","08:00:00","Murinda","DALKOT","Kebun jeruk - DINAMIKA BINTANG KEJORA, PT",371,"PUTRA BANGKA EXPRESS, PT","CDD",17.74
"140513014","05/13/2014","08:00:00","Murinda","DALKOT","Kebun jeruk - DINAMIKA BINTANG KEJORA, PT",371,"PUTRA BANGKA EXPRESS, PT","CDD",17.74
"140513015","05/13/2014","08:00:00","Murinda","DALKOT","Kelapa gading - PRIMA MEGAH LESTARI, PT",371,"PUTRA BANGKA EXPRESS, PT","CDD",17.74
"140513016","05/13/2014","08:00:00","Murinda","DALKOT","Tangerang - HASTA HUSNUL KHOTIMAH, PT",371,"PUTRA BANGKA EXPRESS, PT","CDD",17.74
"140513017","05/13/2014","08:00:00","Murinda","DALKOT","Tangerang - HASTA HUSNUL KHOTIMAH, PT",371,"PUTRA BANGKA EXPRESS, PT","CDD",17.74
"140513032","05/13/2014","12:30:00","Murinda","DALKOT","Pasar Minggu - ALIF ROSE, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140513033","05/13/2014","08:00:00","Murinda","DALKOT","Pasar Minggu - ALIF ROSE, PT",4642,"MITRA TOTAL PERSADA, PT","FUSO",39.00
"140513062","05/13/2014","08:00:00","Murinda","DALKOT","Depok - PUTRA ANDITYA PERKASA, PT",2972,"TUPPERWARE","CDD",17.74
"140513050","05/13/2014","08:30:00","JABABEKA 5","DALKOT","LANSIR MURINDA",133,"DIVISI ARMADA PINTUSONA","BUILT UP",52.00
"140513051","05/13/2014","08:30:00","JABABEKA 5","LUKOT","Surabaya",4445,"DEXTRAN","WINGS BOX",45.00
"140513052","05/13/2014","10:30:00","JABABEKA 5","LUKOT","Surabaya",4445,"DEXTRAN","WINGS BOX",45.00
"140513054","05/13/2014","13:30:00","JABABEKA 5","LUKOT","Surabaya",4445,"DEXTRAN","WINGS BOX",45.00
"140513055","05/13/2014","08:00:00","SURABAYA","DALKOT","MARGO(MALANG)",2199,"NUGRAHA SENTOSA","CDD",17.74
"140513056","05/13/2014","08:00:00","SURABAYA","DALKOT","VINI",1954,"SAPTA PRIMA PERKASA, PT","CDD",17.74
"140513057","05/13/2014","08:00:00","SURABAYA","DALKOT","ASTA+ALMANDA",1954,"SAPTA PRIMA PERKASA, PT","CDD",17.74
"140513058","05/13/2014","08:00:00","SURABAYA","DALKOT","SARANA",1954,"SAPTA PRIMA PERKASA, PT","CDD",17.74
"140513059","05/13/2014","09:30:00","JBK5+Murinda","LUKOT","Bandung - FAJAR PUNCAK PRATAMA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140513060","05/13/2014","09:00:00","Murinda","DALKOT","Kelapa gading - PRIMA MEGAH LESTARI, PT",2972,"TUPPERWARE","CDD",17.74
"140513061","05/13/2014","10:00:00","SURABAYA","DALKOT","ADICITRA",2199,"NUGRAHA SENTOSA","CDD",17.74
"140513063","05/13/2014","10:00:00","MEDAN","DALKOT","ANDALAS NUSA PERSADA",4908,"MITRA SEJATI ABADI, CV","CDD",17.74
"140513064","05/13/2014","10:00:00","MEDAN","DALKOT","BAHANA ERIA SAFA",133,"DIVISI ARMADA PINTUSONA","CDD",17.74
