kend-num,co-num
B 9150SYL,L001551
B 9151SYL,U000026
B 9154SYL,L001545
B 9157SYL,L001529
B 9158SYL,L001590
B 9160SYL,L001596
B 9160SYL,L001580
B 9161SYL,L001563
B 9162SYL,L001578
B 9163SYL,U000029
B 9249PDB,L001559
B 9250PDB,U000013
B 9252PDB,U000036
B 9609PDB,L001584
B 9612PDB,L001585
B 9742PDB,L001525
B 9744PDB,L001582
B 9749PDB,L001583
B 9876PDA,L001574
B 9882PDA,U000034
B 9886PDA,L001572
B 9899PDA,L001589
B 9900PDA,L001555










































