kend-num,co-num
B 9154SYL,L130416
B 9157SYL,L130422
B 9158SYL,U000017
B 9161SYL,L130400
B 9162SYL,L130423
B 9249PDB,U000018
B 9250PDB,L130417
B 9252PDB,L001515
B 9609PDB,U000019
B 9612PDB,A000051
B 9744PDB,A000050
B 9749PDB,L130369
B 9749PDB,L130441
B 9876PDB,F000030
B 9882PDA,L130413
B 9883PDA,L130415
B 9886PDA,L130421
B 9886PDA,L001508
B 9899PDA,L130420
B 9900PDA,U000016













































