kend-num,co-num
B 9100VF,A154718
B 9149SYL,L131602
B 9155SYL,L131663
B 9156SYL,A154621
B 9160SYL,A154622
B 9198XT,L131733
B 9217PL,A154791
B 9217PL,A154790
B 9250PDB,L131677
B 9254PDB,C028993
B 9600PDB,L142678
B 9602PDB,C028945
B 9605PDB,A154748
B 9606PDB,U033040
B 9615PDB,C028994
B 9617PDB,B088317
B 9670IL,A154768
B 9742PDB,C028960
B 9750PDB,L131606
B 9822PDB,F011513
B 9822PDB,F011512
B 9827PDB,F011505
B 9830PDB,L131685
B 9878PDA,A154731
B 9884PDA,F011499
B 9884PDA,F011500
B 9885PDA,A154717






































